radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,size,flag,x,y,cloud_id,status
LTE,240.0,7.0,35013.0,80818437.0,0.0,15.981319,59.361279,59851.0,1812.0,1.0,1438272689.0,1506003479.0,0.0,717.0,0.0,21827606.01597387,4880059.842944287,3.0,1.0
LTE,232.0,1.0,20262.0,588039.0,0.0,13.298101,48.287528,75093.0,267.0,1.0,1438958550.0,1491825731.0,0.0,646.0,0.0,21528760.056278244,6036077.944348678,3.0,1.0
LTE,262.0,2.0,42408.0,5462786.0,0.0,10.044911,53.509233,55129.0,2000.0,1.0,1439311158.0,1566567173.0,0.0,986.0,0.0,21166432.92235837,5511740.929906711,3.0,1.0
LTE,216.0,30.0,510.0,270853.0,0.0,18.815191,47.463832,107688.0,6.0,1.0,1439573407.0,1471397477.0,0.0,550.0,0.0,22143231.208371416,6115916.587213909,3.0,1.0
LTE,262.0,2.0,48070.0,21611010.0,0.0,11.44026,48.801382,150635.0,5734.0,1.0,1439753994.0,1490991876.0,0.0,512.0,0.0,21321841.24587712,5985899.592043001,3.0,1.0
LTE,222.0,10.0,33005.0,14937139.0,0.0,14.157112,42.510424,52479.0,20.0,1.0,1439754023.0,1494614132.0,0.0,642.0,0.0,21624433.22434885,6581772.06150811,1.0,1.0
LTE,222.0,10.0,33004.0,15195403.0,0.0,13.93976,42.789224,87140.0,80.0,1.0,1439754024.0,1661508430.0,0.0,745.0,0.0,21600225.438387465,6556155.7415401405,1.0,1.0
LTE,204.0,4.0,20400.0,26588674.0,0.0,4.035347,51.935817,159181.0,418.0,1.0,1439754028.0,1464570435.0,0.0,556.0,0.0,20497112.00958413,5673249.446792581,3.0,1.0
LTE,216.0,70.0,3104.0,431872.0,0.0,19.109667,47.509211,143609.0,315.0,1.0,1440149410.0,1495366453.0,0.0,744.0,0.0,22176028.753269862,6111536.906806558,3.0,1.0
LTE,262.0,2.0,42525.0,6110210.0,0.0,11.179376,52.245108,58316.0,1528.0,1.0,1443390151.0,1506009548.0,0.0,664.0,0.0,21292785.04196479,5641753.481433458,3.0,1.0
LTE,238.0,1.0,2300.0,8594256.0,0.0,12.287093,55.594503,119583.0,270.0,1.0,1443682009.0,1575402253.0,0.0,871.0,0.0,21416158.07760191,5292537.622404619,3.0,1.0
LTE,262.0,2.0,42428.0,5418755.0,0.0,9.01905,53.085895,52294.0,629.0,1.0,1443682033.0,1553327536.0,0.0,593.0,0.0,21052176.67666409,5555513.568387923,3.0,1.0
LTE,262.0,2.0,46076.0,15660545.0,0.0,8.603033,50.155211,61754.0,259.0,1.0,1444226264.0,1572629604.0,0.0,668.0,0.0,21005842.38715996,5852278.923333061,3.0,1.0
LTE,206.0,10.0,15300.0,17312513.0,0.0,4.719897,50.497601,52188.0,343.0,1.0,1445038865.0,1659593630.0,0.0,992.0,0.0,20573354.41765893,5818150.194572277,3.0,1.0
LTE,222.0,10.0,33006.0,15003917.0,0.0,14.366958,42.339578,59652.0,870.0,1.0,1447843147.0,1487699303.0,0.0,805.0,0.0,21647805.02241308,6597436.248472376,1.0,1.0
LTE,262.0,2.0,42451.0,5658113.0,0.0,10.025549,54.242442,71035.0,157.0,1.0,1447843240.0,1697315231.0,0.0,764.0,0.0,21164276.46117198,5435357.028388408,3.0,1.0
LTE,262.0,1.0,18000.0,31302658.0,0.0,13.795078,50.797197,333153.0,17.0,1.0,1448009991.0,1491128085.0,0.0,903.0,0.0,21584111.34287205,5788173.013727205,3.0,1.0
LTE,222.0,10.0,23028.0,12441613.0,0.0,10.771573,44.692792,72062.0,379.0,1.0,1448541402.0,1491779676.0,0.0,967.0,1.0,21247365.594531987,6379399.610829526,1.0,1.0
